title,magnitude,date_time,cdi,mmi,alert,expected_alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country,year,month,earthquake_intensity_category,alert_color,refined_alert
"M 6.6 - 277 km NNE of Codrington, Antigua and Barbuda",6.6,10/7/2023 20:28,5.0,4.0,green,red,1,802.0,us,95.0,2.454,1,mww,10.0,20.0196,-61.0955,"Codrington, Antigua and Barbuda",Indonesia,2023,10,Moderate,red,red
"M 7.6 - 95 km WNW of Hihifo, Tonga",7.6,10/5/2023 16:02,8.0,6.0,green,red,1,907.0,us,111.0,3.631,1,mww,210.097,-15.6002,-174.608,"Hihifo, Tonga",Indonesia,2023,10,Severe,red,red
"M 7.6 - Pulau Pulau Tanimbar, Indonesia",7.6,9/1/2023 17:47,5.0,7.0,green,green,0,957.0,us,114.0,1.575,0,mww,105.249,-7.0852,130.039,"Pulau Pulau Tanimbar, Indonesia",Indonesia,2023,9,Severe,green,green
"M 6.5 - 42 km W of Sola, Vanuatu",6.5,8/16/2023 12:47,7.0,4.0,green,green,0,657.0,us,114.0,7.177,0,mww,192.955,-13.8814,167.158,"Sola, Vanuatu",Vanuatu,2023,8,Severe,green,green
M 7.0 - Vanuatu,7.0,8/1/2023 12:32,8.0,7.0,green,red,1,768.0,us,116.0,6.096,1,mww,29.0,-14.9383,166.878,Vanuatu,Vanuatu,2023,8,Severe,red,red
"M 6.5 - 43 km S of Intipucá, El Salvador",6.5,7/19/2023 0:22,8.0,6.0,yellow,green,0,775.0,us,92.0,0.679,1,mww,69.727,12.814,-88.1265,"Intipucá, El Salvador",Indonesia,2023,7,Severe,green,green
"M 6.6 - 25 km ESE of Loncopué, Argentina",6.6,7/17/2023 3:05,7.0,5.0,green,green,0,899.0,us,70.0,1.634,0,mww,171.371,-38.1911,-70.3731,"Loncopué, Argentina",Argentina,2023,7,Severe,green,green
M 7.3 - Alaska Peninsula,7.3,7/16/2023 6:48,0.0,5.0,green,red,1,820.0,at,79.0,0.879451,1,mi,21.0,54.49,-160.796,Alaska Peninsula,Indonesia,2023,7,Moderate,red,red
"M 7.2 - 98 km S of Sand Point, Alaska",7.2,7/16/2023 6:48,6.0,6.0,green,red,1,860.0,us,173.0,0.907,1,mww,32.571,54.3844,-160.699,"Sand Point, Alaska",Indonesia,2023,7,Moderate,red,red
M 7.2 - south of the Fiji Islands,7.2,6/15/2023 18:06,8.0,6.0,green,red,1,804.0,us,85.0,2.59,1,mww,167.404,-22.9824,-177.208,the Fiji Islands,Indonesia,2023,6,Severe,red,red
